setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star
halueval_qwen1.5b,0,0.0,0.0,0.3630392195773311,0.3473022837424651,0.058,0.010113436336442266,0.0,0.17261525279128553,0.9995951295417149,0.9995141555141555
halueval_qwen1.5b,1,0.037037037037037035,0.0,0.327184836845845,0.32382251787930727,0.54,0.03462833622959623,0.0,0.1545453634634583,0.9997119997424284,0.9996760236760237
halueval_qwen1.5b,2,0.07407407407407407,0.911,0.0,0.0,1.0,0.5137520382047814,0.998,4.0785690184108517e-10,0.9999999103528544,0.9999997839997842
halueval_qwen1.5b,3,0.1111111111111111,0.987,0.0,0.0,1.0,0.501884580444224,1.0,0.0,0.9999999894508215,1.0
halueval_qwen1.5b,4,0.14814814814814814,1.0,0.0,0.0,1.0,0.6372082058793271,1.0,0.0,1.0,1.0
halueval_qwen1.5b,5,0.18518518518518517,0.99,0.0,0.0,1.0,0.5547670282753198,1.0,0.0,0.9999999921738323,0.9999999879999882
halueval_qwen1.5b,6,0.2222222222222222,1.0,0.0,0.0,1.0,0.6261929632415366,1.0,0.0,1.0,1.0
halueval_qwen1.5b,7,0.25925925925925924,0.489,0.000773116946220398,0.000773116946220398,1.0,0.31927467231767914,0.93,9.166244262065893e-06,0.99999866507804,0.9999980199980201
halueval_qwen1.5b,8,0.2962962962962963,0.922,0.0,0.0,1.0,0.5380093589956911,0.981,0.0,0.9999996848304242,0.9999991719991721
halueval_qwen1.5b,9,0.3333333333333333,0.964,0.0,0.0,1.0,0.4950033392027034,1.0,0.0,0.9999999744367007,0.9999997959997963
halueval_qwen1.5b,10,0.37037037037037035,0.865,0.0,0.0,1.0,0.4321911092889039,0.984,4.539291006177214e-10,0.9999996926504897,0.9999993399993401
halueval_qwen1.5b,11,0.4074074074074074,0.006,0.08957179263234138,0.08957179263234138,1.0,0.30998537027314155,0.418,0.0034742410784256977,0.9999743396729069,0.99995481995482
halueval_qwen1.5b,12,0.4444444444444444,0.911,0.0,0.0,1.0,0.5025362978871001,0.996,5.327687089633832e-10,0.999999834617401,0.9999993999994001
halueval_qwen1.5b,13,0.48148148148148145,0.0,0.14791616797447205,0.14791616797447205,1.0,0.2888992229294171,0.084,0.011129974700191572,0.9998679638726321,0.9998491598491599
halueval_qwen1.5b,14,0.5185185185185185,0.08,0.09446153044700623,0.09446153044700623,1.0,0.6018498076986264,0.891,0.003895169683836029,0.9998825037956434,0.9998769398769399
halueval_qwen1.5b,15,0.5555555555555556,0.595,0.0,0.0,1.0,0.3259511719366933,0.948,2.8750940267635787e-09,0.9999997286503004,0.999998343998344
halueval_qwen1.5b,16,0.5925925925925926,0.007,0.1474437639117241,0.1474437639117241,1.0,0.3816915206017538,0.128,0.008484292589564936,0.9998271133240594,0.9998039318039318
halueval_qwen1.5b,17,0.6296296296296297,0.992,0.0,0.0,1.0,0.4874749962645185,1.0,0.0,0.9999999951946938,0.9999999759999763
halueval_qwen1.5b,18,0.6666666666666666,0.282,0.020153678953647614,0.020153678953647614,1.0,0.3721042474445522,0.902,0.0003278797291960358,0.9999970169294315,0.9999934959934961
halueval_qwen1.5b,19,0.7037037037037037,0.765,0.0,0.0,1.0,0.5826483188217323,0.983,1.214459046895245e-09,0.9999974813982786,0.999995727995728
halueval_qwen1.5b,20,0.7407407407407407,0.455,0.008046470582485199,0.008046470582485199,1.0,0.4947952367000303,0.937,0.00013003774020839935,0.999989465334076,0.999984903984904
halueval_qwen1.5b,21,0.7777777777777778,0.697,0.0,0.0,1.0,0.4974221951714628,0.984,1.7043674779480068e-09,0.9999967423468521,0.999992895992896
halueval_qwen1.5b,22,0.8148148148148148,0.788,0.0,0.0,1.0,0.5645139380421038,0.999,8.09900761438435e-10,0.9999967215040999,0.999997167997168
halueval_qwen1.5b,23,0.8518518518518519,0.894,0.0,0.0,1.0,0.6690507370851606,0.999,0.0,0.9999992585473642,0.9999979119979121
halueval_qwen1.5b,24,0.8888888888888888,0.91,0.0,0.0,1.0,0.6331793676899815,0.989,0.0,0.9999985333035373,0.999998055998056
halueval_qwen1.5b,25,0.9259259259259259,1.0,0.0,0.0,1.0,0.6958924192920122,1.0,0.0,1.0,1.0
halueval_qwen1.5b,26,0.9629629629629629,0.989,0.0,0.0,1.0,0.6305391067459232,1.0,0.0,0.9999999586091188,0.9999999279999282
halueval_qwen1.5b,27,1.0,0.0,0.6988080437295139,0.4085381757467985,0.0,0.007965296772398543,0.0,0.16112102113599835,0.9981354539289734,0.9980827580827581
