setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star,spearman_P0_star_norm,spearman_star_N
halueval_qwen3b,0,0.0,0.0,0.36159814381971955,0.35335206240415573,0.003,0.010069079113120175,0.0,0.17970690474468512,0.9995133383583891,0.9993637193409298,0.5642023260505815,0.9999633663198285
halueval_qwen3b,1,0.02857142857142857,0.0,0.29499566555023193,0.2948448657989502,0.867,0.0333484687287612,0.0,0.15838648956772652,0.9999168791402681,0.9998899359724839,0.9170985147746286,0.9999633663198285
halueval_qwen3b,2,0.05714285714285714,0.0,0.19395409524440765,0.19395409524440765,1.0,0.08392577803402465,0.0,0.06961084540818628,0.9998207213905941,0.999802739450685,0.9200535425133856,0.9998509109220605
halueval_qwen3b,3,0.08571428571428572,1.0,0.0,0.0,1.0,0.6903531833724722,1.0,0.0,1.0,1.0,1.0,0.9861813049868122
halueval_qwen3b,4,0.11428571428571428,1.0,0.0,0.0,1.0,0.6695250152839272,1.0,0.0,1.0,1.0,1.0,0.9912258159185902
halueval_qwen3b,5,0.14285714285714285,1.0,0.0,0.0,1.0,0.7635946804616649,1.0,0.0,1.0,1.0,1.0,0.979348951984552
halueval_qwen3b,6,0.17142857142857143,0.998,0.0,0.0,1.0,0.6761765144259184,1.0,0.0,0.9999999938742266,0.9999999909999977,0.9999997869999466,0.9910142057419339
halueval_qwen3b,7,0.2,1.0,0.0,0.0,1.0,0.6749504970491839,1.0,0.0,1.0,1.0,1.0,0.9806697206993507
halueval_qwen3b,8,0.22857142857142856,1.0,0.0,0.0,1.0,0.6925715116468039,1.0,0.0,0.9999999999999998,1.0,1.0,0.9812167773768092
halueval_qwen3b,9,0.2571428571428571,1.0,0.0,0.0,1.0,0.6420721235942316,1.0,0.0,1.0,1.0,1.0,0.9861498585769535
halueval_qwen3b,10,0.2857142857142857,1.0,0.0,0.0,1.0,0.6206009312912341,1.0,0.0,0.9999999999999998,1.0,1.0,0.9876653614742635
halueval_qwen3b,11,0.3142857142857143,0.995,0.0,0.0,1.0,0.5165208360865705,0.9995,0.0,0.999999996890172,0.9999999909999977,0.999999831999958,0.9908794550218325
halueval_qwen3b,12,0.34285714285714286,0.949,0.0,0.0,1.0,0.5040937744604193,1.0,0.0,0.9999996516357578,0.9999995169998793,0.9999894714973678,0.9867611513736758
halueval_qwen3b,13,0.37142857142857144,1.0,0.0,0.0,1.0,0.5919726598592134,1.0,0.0,1.0,1.0,1.0,0.9927206971836029
halueval_qwen3b,14,0.4,0.3455,0.025803565979003906,0.025803565979003906,1.0,0.4114451205624919,0.902,0.0003818889674070392,0.9999950162689073,0.9999907704976926,0.9994367153591788,0.9958679925174084
halueval_qwen3b,15,0.42857142857142855,0.9685,0.0,0.0,1.0,0.4890977182298181,0.996,0.0,0.9999999522403368,0.9999998574999642,0.9999960309990078,0.9936022436982743
halueval_qwen3b,16,0.45714285714285713,0.166,0.05002737045288086,0.05002737045288086,1.0,0.4092144026000403,0.6235,0.0009607254725265656,0.9999901284444906,0.9999848994962248,0.9996012144003037,0.9887084864485419
halueval_qwen3b,17,0.4857142857142857,0.807,0.0,0.0,1.0,0.5064365035931755,0.9995,0.0,0.9999996999449805,0.9999994359998589,0.9999880119970029,0.9885064514967513
halueval_qwen3b,18,0.5142857142857142,0.2265,0.027408599853515625,0.027408599853515625,1.0,0.35922063005117666,0.8565,0.00045712793744289663,0.999996819575364,0.9999934569983642,0.9995740943935235,0.9960619519213432
halueval_qwen3b,19,0.5428571428571428,0.394,0.011065371334552765,0.011065371334552765,1.0,0.38755397511974365,0.8475,0.00015955660676769762,0.9999973759903397,0.9999954384988596,0.9998664564666141,0.9931843402844623
halueval_qwen3b,20,0.5714285714285714,0.258,0.037954509258270264,0.037954509258270264,1.0,0.565901118513725,0.9755,0.0009677131386692439,0.9999767597996969,0.9999830514957629,0.9997922499480625,0.9772902760530262
halueval_qwen3b,21,0.6,0.052,0.09296101331710815,0.09296101331710815,1.0,0.4095281138013773,0.488,0.0030865343181702256,0.999909798321541,0.9999105414776354,0.9976510654127662,0.9859897696722867
halueval_qwen3b,22,0.6285714285714286,0.464,0.0037431716918945312,0.0037431716918945312,1.0,0.45994633718341277,0.901,5.686646478090725e-05,0.9999963823164805,0.9999953379988346,0.9999229764807441,0.9821647478414399
halueval_qwen3b,23,0.6571428571428571,0.392,0.010574042797088623,0.010574042797088623,1.0,0.3719770134513651,0.9255,0.0001439659853074068,0.9999983084203526,0.9999962574990642,0.9998796849699212,0.9921239946750238
halueval_qwen3b,24,0.6857142857142857,0.0145,0.0848638117313385,0.0848638117313385,1.0,0.3687724137222025,0.573,0.0025272306838814915,0.9999846238418142,0.9999805419951355,0.9990457042614259,0.9914949397231678
halueval_qwen3b,25,0.7142857142857143,0.997,0.0,0.0,1.0,0.6750865162913235,1.0,0.0,0.9999999950837714,0.9999999729999932,0.9999999294999822,0.9819648759694316
halueval_qwen3b,26,0.7428571428571429,0.673,0.0,0.0,1.0,0.47626058240918673,0.973,0.0,0.9999991775372624,0.9999983409995854,0.9999656664914167,0.9894411532219821
halueval_qwen3b,27,0.7714285714285715,0.0745,0.06796665489673615,0.06796665489673615,1.0,0.4165567716817476,0.768,0.0016187291464933628,0.9999809364326602,0.9999758319939579,0.999319364329841,0.9870579223196776
halueval_qwen3b,28,0.8,0.421,0.011793136596679688,0.011793136596679688,1.0,0.4606475220883606,0.955,0.0001809722154345601,0.9999963930924358,0.9999938259984565,0.9998596974649242,0.9842722453236837
halueval_qwen3b,29,0.8285714285714286,0.7895,0.0,0.0,1.0,0.6082319470480382,0.981,0.0,0.9999978259732579,0.9999969939992485,0.9999674274918569,0.9646596819403482
halueval_qwen3b,30,0.8571428571428571,0.996,0.0,0.0,1.0,0.6142204707607298,0.9995,0.0,0.9999999962370444,0.9999999729999932,0.9999998199999551,0.9796674317312541
halueval_qwen3b,31,0.8857142857142857,0.0,0.6843109130859375,0.16827774047851562,0.0,0.006223157881698434,0.114,0.24473878064042887,0.989484464571013,0.990172668043167,0.4530605497651375,0.9999633663198285
halueval_qwen3b,32,0.9142857142857143,0.0,0.921565055847168,0.358917236328125,0.0,0.002207697430808602,0.06,0.37353191927069884,0.9514474986194833,0.9525772406443102,0.39621955055488767,0.9999633663198285
halueval_qwen3b,33,0.9428571428571428,0.0,0.9465847015380859,0.414215087890625,0.0,0.0034267655384926793,0.0075,0.42731125304229456,0.9244259953270864,0.923266288316572,0.3420861180215295,0.9999601659517869
halueval_qwen3b,34,0.9714285714285714,0.0,0.5871132612228394,0.36322021484375,0.0,0.014882698453711889,0.01,0.24656803716777237,0.987481874665925,0.9885924506481127,0.2244069756017439,0.9999570945885041
halueval_qwen3b,35,1.0,0.0,0.5761868953704834,0.45278438553214073,0.0,0.007256188532577909,0.0385,0.2651756846833935,0.9842980277408507,0.9853795113448777,-0.13865600716400178,0.9999631278110314
