setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star,spearman_P0_star_norm,spearman_star_N
triviaqa_qwen7b,0,0.0,0.0,0.4013873413205147,0.3579978793859482,0.0,0.01759635229135723,0.0,0.14166739650632715,0.9999112468080494,0.998009403354549,0.9351523809731594,0.9991096968916354
triviaqa_qwen7b,1,0.037037037037037035,0.0,0.3268124982714653,0.2518441379070282,0.0,0.025132064090384317,0.0,0.15711752536999474,0.9998924941002603,0.9978995508189291,0.9649597996382149,0.9991096968916354
triviaqa_qwen7b,2,0.07407407407407407,0.0,0.5181612558662891,0.29965509474277496,0.0,0.014022506216007927,0.0,0.14730406054114575,0.9996831296041894,0.9977027492551165,0.9055871088866199,0.9991096968916354
triviaqa_qwen7b,3,0.1111111111111111,0.0,0.40809738636016846,0.376820832490921,0.0,0.022685510363596017,0.0,0.1680362618010119,0.9996475811611775,0.9977769602791793,0.8834301967022413,0.9991096968916354
triviaqa_qwen7b,4,0.14814814814814814,0.0,0.8950912978034467,0.4164123870432377,0.0,0.0091917646506074,1.0,0.7214872576446253,0.9862524232694792,0.9782227090555469,-0.010115842783855463,0.9991096968916354
triviaqa_qwen7b,5,0.18518518518518517,0.0,0.929014318739064,0.09481944516301155,0.0,0.003741984393183567,0.0,0.7331149333554872,0.9843451237553628,0.9751588909452702,0.3115447857683968,0.9991096968916354
triviaqa_qwen7b,6,0.2222222222222222,0.0,0.844035524292849,0.10276125371456146,0.0,0.009470910950959689,1.0,0.6130467567067774,0.9937027064691388,0.9884460467536305,0.7266300668597991,0.9991096968916354
triviaqa_qwen7b,7,0.25925925925925924,0.0,0.8401412112289108,0.16277912631630898,0.0,0.002639547390529824,1.0,0.5696567637088419,0.9924880242733964,0.9881837776685899,0.46085698818287835,0.9991096968916354
triviaqa_qwen7b,8,0.2962962962962963,0.0,0.8450425415794598,0.08677087351679802,0.0,0.002618634316493525,0.0,0.6256157262146267,0.9902542279867244,0.9867842352147882,0.40228014218933605,0.9991096968916354
triviaqa_qwen7b,9,0.3333333333333333,0.0,0.7901384776923805,0.04806436598300934,0.0,0.0020477890270332107,0.0,0.5216558199597325,0.9920235031828312,0.9874501154306998,0.33788991081080355,0.9991096968916354
