setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star,spearman_P0_star_norm,spearman_star_N
truthfulqa_mistral,0,0.0,1.0,0.0,0.0,1.0,0.7077881928594246,1.0,0.0,1.0,1.0,1.0,0.9939868201835865
truthfulqa_mistral,1,0.03225806451612903,1.0,0.0,0.0,1.0,0.7745862068528616,1.0,0.0,1.0,1.0,1.0,0.9936957266553693
truthfulqa_mistral,2,0.06451612903225806,1.0,0.0,0.0,1.0,0.8677400957447502,1.0,0.0,0.9999999999999999,1.0,1.0,0.9653843275492405
truthfulqa_mistral,3,0.0967741935483871,1.0,0.0,0.0,1.0,0.8560588516108169,1.0,0.0,1.0,0.9999999999999999,1.0,0.9812184395107028
truthfulqa_mistral,4,0.12903225806451613,1.0,0.0,0.0,1.0,0.8515197052421236,1.0,0.0,1.0,1.0,1.0,0.9698459476638261
truthfulqa_mistral,5,0.16129032258064516,1.0,0.0,0.0,1.0,0.8276015340128726,1.0,0.0,1.0,1.0,1.0,0.9632996637925973
truthfulqa_mistral,6,0.1935483870967742,1.0,0.0,0.0,1.0,0.7919443200412497,1.0,0.0,1.0,1.0,1.0,0.974798638479044
truthfulqa_mistral,7,0.22580645161290322,1.0,0.0,0.0,1.0,0.7358308661600259,1.0,0.0,1.0,1.0,1.0,0.9517795367411964
truthfulqa_mistral,8,0.25806451612903225,1.0,0.0,0.0,1.0,0.728655063443231,1.0,0.0,1.0,1.0,1.0,0.978802889351521
truthfulqa_mistral,9,0.2903225806451613,1.0,0.0,0.0,1.0,0.7599694267963698,1.0,0.0,1.0,1.0,1.0,0.9597397731872481
truthfulqa_mistral,10,0.3225806451612903,1.0,0.0,0.0,1.0,0.6556947295369429,1.0,0.0,1.0,1.0,1.0,0.9783513754991426
truthfulqa_mistral,11,0.3548387096774194,1.0,0.0,0.0,1.0,0.7273544060471034,1.0,0.0,1.0,1.0,1.0,0.9662824903198476
truthfulqa_mistral,12,0.3870967741935484,1.0,0.0,0.0,1.0,0.7204406787967657,1.0,0.0,0.9999999999999997,1.0,1.0,0.9662393742742579
truthfulqa_mistral,13,0.41935483870967744,1.0,0.0,0.0,1.0,0.6260618262036245,1.0,0.0,0.9999999999999996,1.0,1.0,0.9717483897868843
truthfulqa_mistral,14,0.45161290322580644,1.0,0.0,0.0,1.0,0.7121426403669048,1.0,0.0,0.9999999999999994,1.0,1.0,0.9653474048663278
truthfulqa_mistral,15,0.4838709677419355,1.0,0.0,0.0,1.0,0.7001395116487004,1.0,0.0,1.0,1.0,1.0,0.9498075491293564
truthfulqa_mistral,16,0.5161290322580645,0.9981640146878825,0.0,0.0,1.0,0.7075690238364979,1.0,0.0,0.9999999301205987,0.9999999889976554,0.9999999917482415,0.9523757473670136
truthfulqa_mistral,17,0.5483870967741935,1.0,0.0,0.0,1.0,0.6757264169621423,1.0,0.0,0.999999999999999,1.0,1.0,0.9794801147020048
truthfulqa_mistral,18,0.5806451612903226,1.0,0.0,0.0,1.0,0.7047382131921573,1.0,0.0,1.0,1.0,1.0,0.9733978993131776
truthfulqa_mistral,19,0.6129032258064516,1.0,0.0,0.0,1.0,0.7104364567566342,1.0,0.0,0.9999999999999994,1.0,1.0,0.9665113687298645
truthfulqa_mistral,20,0.6451612903225806,1.0,0.0,0.0,1.0,0.7854735679587939,1.0,0.0,1.0,1.0,1.0,0.9543627317564174
truthfulqa_mistral,21,0.6774193548387096,1.0,0.0,0.0,1.0,0.8138885402927052,1.0,0.0,1.0,1.0,1.0,0.9569214259524296
truthfulqa_mistral,22,0.7096774193548387,1.0,0.0,0.0,1.0,0.8445859350141848,1.0,0.0,0.9999999999999999,1.0,1.0,0.9456506798749129
truthfulqa_mistral,23,0.7419354838709677,1.0,0.0,0.0,1.0,0.8137083269753833,1.0,0.0,1.0,1.0,1.0,0.9569583341449028
truthfulqa_mistral,24,0.7741935483870968,1.0,0.0,0.0,1.0,0.85691915032433,1.0,0.0,0.9999999999999999,1.0,1.0,0.9310470534328263
truthfulqa_mistral,25,0.8064516129032258,1.0,0.0,0.0,1.0,0.8532780023436627,1.0,0.0,1.0,1.0,1.0,0.9425837060586667
truthfulqa_mistral,26,0.8387096774193549,1.0,0.0,0.0,1.0,0.8239940597489237,1.0,0.0,0.9999999999999999,1.0,1.0,0.9673008117250319
truthfulqa_mistral,27,0.8709677419354839,1.0,0.0,0.0,1.0,0.7848524280595471,1.0,0.0,0.9999999999999998,1.0,1.0,0.9814487654822487
truthfulqa_mistral,28,0.9032258064516129,1.0,0.0,0.0,1.0,0.7440724275368971,1.0,0.0,0.9999999999999993,1.0,1.0,0.9794978784445313
truthfulqa_mistral,29,0.9354838709677419,0.9822521419828641,0.0,0.0,1.0,0.7517714929186946,1.0,0.0,0.9999861048627557,0.9999772911607323,0.9998902186055163,0.9752164192441455
truthfulqa_mistral,30,0.967741935483871,0.9957160342717258,0.0,0.0,1.0,0.6713209053694004,1.0,0.0,0.9999991866444355,0.9999999807458969,0.9999993811181159,0.9799909782806479
truthfulqa_mistral,31,1.0,0.44981640146878826,0.008419275283813477,0.008419275283813477,1.0,0.56727764113416,0.9975520195838433,0.0007250487385097227,0.9999117585237164,0.9998663572706509,0.9938237843445837,0.9895319509606085
