setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star,spearman_P0_star_norm,spearman_star_N
truthfulqa_mistral_chat,0,0.0,1.0,0.0,0.0,1.0,0.6890353979468358,1.0,0.0,1.0,1.0,1.0,0.9939768535373742
truthfulqa_mistral_chat,1,0.03225806451612903,1.0,0.0,0.0,1.0,0.7734391062106296,1.0,0.0,1.0,1.0,1.0,0.9937452350117965
truthfulqa_mistral_chat,2,0.06451612903225806,1.0,0.0,0.0,1.0,0.8674564550101949,1.0,0.0,1.0,1.0,1.0,0.9644238732397631
truthfulqa_mistral_chat,3,0.0967741935483871,1.0,0.0,0.0,1.0,0.8546882116721433,1.0,0.0,1.0,1.0,1.0,0.981026600140833
truthfulqa_mistral_chat,4,0.12903225806451613,1.0,0.0,0.0,1.0,0.8512133837759522,1.0,0.0,1.0,1.0,1.0,0.9698367216330304
truthfulqa_mistral_chat,5,0.16129032258064516,1.0,0.0,0.0,1.0,0.8292335264551718,1.0,0.0,1.0,1.0,1.0,0.9634103107473444
truthfulqa_mistral_chat,6,0.1935483870967742,1.0,0.0,0.0,1.0,0.7911974091351699,1.0,0.0,1.0,1.0,1.0,0.9743532463864784
truthfulqa_mistral_chat,7,0.22580645161290322,1.0,0.0,0.0,1.0,0.7387092315216862,1.0,0.0,1.0,1.0,1.0,0.9514126719954358
truthfulqa_mistral_chat,8,0.25806451612903225,1.0,0.0,0.0,1.0,0.7293745047044196,1.0,0.0,0.9999999999999999,1.0,1.0,0.978568702074309
truthfulqa_mistral_chat,9,0.2903225806451613,1.0,0.0,0.0,1.0,0.761281815377681,1.0,0.0,1.0,1.0,1.0,0.9597797526823725
truthfulqa_mistral_chat,10,0.3225806451612903,1.0,0.0,0.0,1.0,0.6572894236479927,1.0,0.0,1.0,1.0,1.0,0.9782366448091864
truthfulqa_mistral_chat,11,0.3548387096774194,1.0,0.0,0.0,1.0,0.7278863972039509,1.0,0.0,1.0,1.0,1.0,0.9664406096715821
truthfulqa_mistral_chat,12,0.3870967741935484,1.0,0.0,0.0,1.0,0.7216534924703122,1.0,0.0,1.0,1.0,1.0,0.9661008255024275
truthfulqa_mistral_chat,13,0.41935483870967744,1.0,0.0,0.0,1.0,0.6260721450768214,1.0,0.0,0.9999999999999998,1.0,1.0,0.9716618781964735
truthfulqa_mistral_chat,14,0.45161290322580644,1.0,0.0,0.0,1.0,0.7123194136782349,1.0,0.0,0.9999999999999994,1.0,1.0,0.9651144221216348
truthfulqa_mistral_chat,15,0.4838709677419355,1.0,0.0,0.0,1.0,0.7023246519546532,1.0,0.0,1.0,1.0,1.0,0.9498293601159018
truthfulqa_mistral_chat,16,0.5161290322580645,0.9981640146878825,0.0,0.0,1.0,0.7097947173353246,1.0,0.0,0.9999999246703922,1.0,0.9999999834964831,0.9524971780109914
truthfulqa_mistral_chat,17,0.5483870967741935,1.0,0.0,0.0,1.0,0.6747397383817639,1.0,0.0,1.0,1.0,1.0,0.97947668557
truthfulqa_mistral_chat,18,0.5806451612903226,1.0,0.0,0.0,1.0,0.705839943454234,1.0,0.0,1.0,1.0,1.0,0.9732128590465949
truthfulqa_mistral_chat,19,0.6129032258064516,1.0,0.0,0.0,1.0,0.7084163891010937,1.0,0.0,0.9999999999999999,1.0,1.0,0.9665616259563734
truthfulqa_mistral_chat,20,0.6451612903225806,1.0,0.0,0.0,1.0,0.7876571323776232,1.0,0.0,1.0,1.0,1.0,0.9539127377440056
truthfulqa_mistral_chat,21,0.6774193548387096,1.0,0.0,0.0,1.0,0.8145613162214531,1.0,0.0,0.9999999999999998,1.0,1.0,0.9566940721602726
truthfulqa_mistral_chat,22,0.7096774193548387,1.0,0.0,0.0,1.0,0.8452134618417276,1.0,0.0,1.0,1.0,1.0,0.9447469796582064
truthfulqa_mistral_chat,23,0.7419354838709677,1.0,0.0,0.0,1.0,0.8145547924507391,1.0,0.0,1.0,0.9999999999999999,1.0,0.9565356161293972
truthfulqa_mistral_chat,24,0.7741935483870968,1.0,0.0,0.0,1.0,0.8583069554749295,1.0,0.0,1.0,1.0,1.0,0.9305206955803852
truthfulqa_mistral_chat,25,0.8064516129032258,1.0,0.0,0.0,1.0,0.853547126298465,1.0,0.0,1.0,1.0,1.0,0.9410531092990917
truthfulqa_mistral_chat,26,0.8387096774193549,1.0,0.0,0.0,1.0,0.8246645587765067,1.0,0.0,1.0,1.0,1.0,0.9666172835711655
truthfulqa_mistral_chat,27,0.8709677419354839,1.0,0.0,0.0,1.0,0.7839768660504038,1.0,0.0,1.0,1.0,1.0,0.9811921257188869
truthfulqa_mistral_chat,28,0.9032258064516129,1.0,0.0,0.0,1.0,0.7425179855543665,1.0,0.0,0.9999999999999999,1.0,1.0,0.9791290615998994
truthfulqa_mistral_chat,29,0.9354838709677419,0.981640146878825,0.0,0.0,1.0,0.7526750741648996,1.0,0.0,0.9999859316139045,0.9999811172260691,0.9998662114895849,0.9747821487910018
truthfulqa_mistral_chat,30,0.967741935483871,0.9957160342717258,0.0,0.0,1.0,0.6737856360076633,1.0,0.0,0.9999991507554375,0.9999999752447247,0.9999997194402126,0.9798785520334761
truthfulqa_mistral_chat,31,1.0,0.44981640146878826,0.008699655532836914,0.008699655532836914,1.0,0.5663013482554782,0.9975520195838433,0.0006964427911695656,0.9999119279553984,0.9998704006322938,0.9939407612724401,0.9892909301983415
