setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star,spearman_P0_star_norm,spearman_star_N
truthfulqa_phi3,0,0.0,0.0,0.10628509521484375,0.06001231074333191,0.2215422276621787,0.09971526950885984,0.18665850673194614,0.040642240343553813,0.9998766504942176,0.9984873041435677,0.9661364309022605,0.9991425160210853
truthfulqa_phi3,1,0.03225806451612903,0.0,0.3959236145019531,0.39130060747265816,0.6952264381884945,0.09387466205265829,0.028151774785801713,0.2014844343701384,0.9960150608792513,0.9955117035412195,0.7865076914056058,0.9990903173975809
truthfulqa_phi3,2,0.06451612903225806,0.0,0.43132398277521133,0.4035663604736328,0.09730722154222766,0.0826925701134337,0.03427172582619339,0.20638706124094916,0.9786193621207574,0.9678258794247966,0.04020958531276114,0.9991425160210853
truthfulqa_phi3,3,0.0967741935483871,0.7105263157894737,0.0,0.0,1.0,0.7881295315788426,1.0,0.0,0.9949077724540921,0.9996127312211837,0.9994356512353737,0.7938469666663315
truthfulqa_phi3,4,0.12903225806451613,0.7117503059975521,0.0,0.0,1.0,0.8055210661951675,1.0,0.0,0.9960388388665703,0.9997379427155868,0.9994801419664986,0.7944518160323415
truthfulqa_phi3,5,0.16129032258064516,1.0,0.0,0.0,1.0,0.82975020973801,1.0,0.0,1.0,0.9999999999999999,1.0,0.8077040534638774
truthfulqa_phi3,6,0.1935483870967742,1.0,0.0,0.0,1.0,0.8311877044491742,1.0,0.0,0.9999999999999999,1.0,1.0,0.832629681765213
truthfulqa_phi3,7,0.22580645161290322,1.0,0.0,0.0,1.0,0.8004531335399255,1.0,0.0,0.9999999999999999,1.0,1.0,0.8888334823998285
truthfulqa_phi3,8,0.25806451612903225,1.0,0.0,0.0,1.0,0.7962159996474025,1.0,0.0,1.0,1.0,1.0,0.9641086215245349
truthfulqa_phi3,9,0.2903225806451613,1.0,0.0,0.0,1.0,0.7512363183062916,1.0,0.0,1.0,1.0,1.0,0.9752421741753954
truthfulqa_phi3,10,0.3225806451612903,1.0,0.0,0.0,1.0,0.7546643614787604,1.0,0.0,0.9999999999999999,1.0,1.0,0.9711786609582346
truthfulqa_phi3,11,0.3548387096774194,1.0,0.0,0.0,1.0,0.7267765268898534,1.0,0.0,1.0,1.0,1.0,0.9696046147622689
truthfulqa_phi3,12,0.3870967741935484,1.0,0.0,0.0,1.0,0.7505061948086762,1.0,0.0,0.9999999999999999,1.0,1.0,0.96364992209399
truthfulqa_phi3,13,0.41935483870967744,1.0,0.0,0.0,1.0,0.7400590147412376,1.0,0.0,1.0,1.0,1.0,0.9609992769264954
truthfulqa_phi3,14,0.45161290322580644,1.0,0.0,0.0,1.0,0.6903485451930085,1.0,0.0,0.9999999999999999,1.0,1.0,0.9665810044931404
truthfulqa_phi3,15,0.4838709677419355,1.0,0.0,0.0,1.0,0.6820127495761013,1.0,0.0,1.0,1.0,1.0,0.9596255798936179
truthfulqa_phi3,16,0.5161290322580645,1.0,0.0,0.0,1.0,0.7174187986838371,1.0,0.0,0.9999999999999999,1.0,1.0,0.9687512831443655
truthfulqa_phi3,17,0.5483870967741935,1.0,0.0,0.0,1.0,0.7237019552781345,1.0,0.0,1.0,1.0,1.0,0.949308881630468
truthfulqa_phi3,18,0.5806451612903226,1.0,0.0,0.0,1.0,0.6891652769720193,1.0,0.0,1.0,1.0,1.0,0.9717048605782937
truthfulqa_phi3,19,0.6129032258064516,1.0,0.0,0.0,1.0,0.7230541775337772,1.0,0.0,1.0,1.0,1.0,0.9556941943561728
truthfulqa_phi3,20,0.6451612903225806,1.0,0.0,0.0,1.0,0.7671040694073775,1.0,0.0,1.0,1.0,1.0,0.9611177472373382
truthfulqa_phi3,21,0.6774193548387096,1.0,0.0,0.0,1.0,0.7434654401779865,1.0,0.0,0.9999999999999999,1.0,1.0,0.9586560828922112
truthfulqa_phi3,22,0.7096774193548387,1.0,0.0,0.0,1.0,0.7726807836407708,1.0,0.0,1.0,1.0,1.0,0.9624032288442587
truthfulqa_phi3,23,0.7419354838709677,1.0,0.0,0.0,1.0,0.8095455500889179,1.0,0.0,1.0,1.0,1.0,0.970256676355668
truthfulqa_phi3,24,0.7741935483870968,1.0,0.0,0.0,1.0,0.7825796057820797,1.0,0.0,1.0,1.0,1.0,0.9661314868285901
truthfulqa_phi3,25,0.8064516129032258,1.0,0.0,0.0,1.0,0.8087638081267305,1.0,0.0,1.0,1.0,1.0,0.9644290865260696
truthfulqa_phi3,26,0.8387096774193549,1.0,0.0,0.0,1.0,0.7906249553101742,1.0,0.0,0.9999999999999999,1.0,1.0,0.9479950997308614
truthfulqa_phi3,27,0.8709677419354839,1.0,0.0,0.0,1.0,0.8085850346969877,1.0,0.0,1.0,1.0,1.0,0.9443945124054425
truthfulqa_phi3,28,0.9032258064516129,1.0,0.0,0.0,1.0,0.7487018185486123,1.0,0.0,0.9999999999999998,1.0,1.0,0.9604306213615134
truthfulqa_phi3,29,0.9354838709677419,1.0,0.0,0.0,1.0,0.7467237022011521,1.0,0.0,0.9999999999999998,1.0,1.0,0.9666885896524966
truthfulqa_phi3,30,0.967741935483871,1.0,0.0,0.0,1.0,0.6664859024566024,1.0,0.0,0.9999999999999998,1.0,1.0,0.8470431325560597
truthfulqa_phi3,31,1.0,0.8678090575275398,0.0,0.0,1.0,0.6181316145205356,0.9632802937576499,0.0,0.9999694977325446,0.9999862718245173,0.9998120551988453,0.8835294115374399
