setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star,spearman_P0_star_norm,spearman_star_N
truthfulqa_qwen1.5b,0,0.0,0.0,0.45087256096303463,0.4021279886364937,0.0,0.030700181263591877,0.0,0.16522650851831716,0.9988803022099088,0.9970583416307629,0.2095343815326636,0.9988893057459421
truthfulqa_qwen1.5b,1,0.037037037037037035,0.0,0.3058064877986908,0.30129177402704954,0.38616891064871484,0.04821502795884141,0.0,0.18261264459648915,0.9995166214921297,0.9974615087959379,0.8970375753929646,0.9988893057459421
truthfulqa_qwen1.5b,2,0.07407407407407407,0.9957160342717258,0.0,0.0,1.0,0.5445767673906957,1.0,1.688496101904428e-09,0.9999998968100852,0.9999999037294847,0.999998385405929,0.9908156417818839
truthfulqa_qwen1.5b,3,0.1111111111111111,0.9993880048959608,0.0,0.0,1.0,0.5234866429367628,1.0,-1.5531297577397405e-09,0.9999999999657944,0.9999999972494138,0.9999999917482415,0.987018807826208
truthfulqa_qwen1.5b,4,0.14814814814814814,1.0,0.0,0.0,1.0,0.6813374170281514,1.0,0.0,1.0,1.0,1.0,0.9740670968580892
truthfulqa_qwen1.5b,5,0.18518518518518517,0.9993880048959608,0.0,0.0,1.0,0.5963390921526457,1.0,0.0,0.999999995306463,0.9999999834964831,0.9999997854542803,0.9858268514525883
truthfulqa_qwen1.5b,6,0.2222222222222222,1.0,0.0,0.0,1.0,0.6828727074480718,1.0,0.0,0.9999999999999998,1.0,1.0,0.9872655770646546
truthfulqa_qwen1.5b,7,0.25925925925925924,0.8806609547123623,0.0,0.0,1.0,0.4077445002096541,0.9895960832313342,-2.9027042962838378e-09,0.9999974263386798,0.9999989437749178,0.9999799564787131,0.9915863896615521
truthfulqa_qwen1.5b,8,0.2962962962962963,0.9975520195838433,0.0,0.0,1.0,0.6144147677454942,1.0,0.0,0.9999999970697797,1.0,0.9999999972494138,0.968574733770946
truthfulqa_qwen1.5b,9,0.3333333333333333,1.0,0.0,0.0,1.0,0.6186633557624579,1.0,0.0,1.0,0.9999999993123534,1.0,0.9766634911327047
truthfulqa_qwen1.5b,10,0.37037037037037035,0.9957160342717258,0.0,0.0,1.0,0.5602623294473273,1.0,1.5947613954174167e-09,0.9999998683905865,0.9999991610712238,0.9999966057766889,0.9810771449396358
truthfulqa_qwen1.5b,11,0.4074074074074074,0.8916768665850673,0.0,0.0,1.0,0.48080350868493976,0.9871481028151775,1.0764498423947342e-09,0.9999941528681024,0.999994523582972,0.9999497192851483,0.9910080829890197
truthfulqa_qwen1.5b,12,0.4444444444444444,0.01346389228886169,0.059015899896621704,0.059015899896621704,1.0,0.6169173874256753,1.0,0.003676195912637926,0.9999691486579138,0.9999452880908579,0.9994800924573778,0.9643012549480525
truthfulqa_qwen1.5b,13,0.48148148148148145,0.35495716034271724,0.025590263307094574,0.025590263307094574,1.0,0.4434285389126031,0.9320685434516524,0.0011845269173150694,0.9998790293509506,0.9998410573792282,0.9978945858349255,0.9874861866793166
truthfulqa_qwen1.5b,14,0.5185185185185185,0.7319461444308446,0.0,0.0,1.0,0.6882717827035357,0.9993880048959608,4.9766626876997115e-09,0.9999583641406152,0.9999457391869868,0.99982447409532,0.9300245064268408
truthfulqa_qwen1.5b,15,0.5555555555555556,0.9877600979192166,0.0,0.0,1.0,0.464855764462519,1.0,1.307961433579381e-09,0.9999998864394778,0.9999997331931433,0.9999963664756938,0.9882742302007731
truthfulqa_qwen1.5b,16,0.5925925925925926,0.37576499388004897,0.03491273522377014,0.03491273522377014,1.0,0.5666290942116776,0.8708690330477357,0.0022952709580940887,0.9993220477560419,0.9991996014345654,0.9940078645721953,0.9614054823495153
truthfulqa_qwen1.5b,17,0.6296296296296297,1.0,0.0,0.0,1.0,0.613927020186526,1.0,0.0,0.9999999999999998,1.0,1.0,0.9807695201553334
truthfulqa_qwen1.5b,18,0.6666666666666666,0.20379436964504283,0.04305775463581085,0.04305775463581085,1.0,0.4896442106489044,0.9981640146878825,0.0022390387494259536,0.9999349938272062,0.9999009733973692,0.9981028327124654,0.987587113261521
truthfulqa_qwen1.5b,19,0.7037037037037037,0.0,0.23613972961902618,0.23613972961902618,1.0,0.5927503975118779,0.014687882496940025,0.03116728763353492,0.9998595196216756,0.9997552143360221,0.9887459437535802,0.9553102858773083
truthfulqa_qwen1.5b,20,0.7407407407407407,0.0,0.14067713171243668,0.14067713171243668,1.0,0.5514270818394478,0.7056303549571603,0.01617551411222766,0.9998980161992753,0.9998341204009539,0.9960125660253278,0.9678745480343803
truthfulqa_qwen1.5b,21,0.7777777777777778,0.6572827417380661,0.0,0.0,1.0,0.5961786776455785,0.9957160342717258,2.26919088500486e-09,0.9998293829805133,0.9997072296727588,0.9977500920432082,0.9658393609708753
truthfulqa_qwen1.5b,22,0.8148148148148148,0.9920440636474909,0.0,0.0,1.0,0.6373324863835811,1.0,2.003686380677678e-09,0.9999996706738075,0.9999999855594227,0.9999998322142448,0.9722151675969494
truthfulqa_qwen1.5b,23,0.8518518518518519,0.9951040391676866,0.0,0.0,1.0,0.6887855741232689,1.0,2.2439440587246334e-09,0.9999999781812381,0.9999999889976554,0.9999996974355233,0.9543371561334664
truthfulqa_qwen1.5b,24,0.8888888888888888,1.0,0.0,0.0,1.0,0.637346671553621,1.0,3.938533973183304e-09,1.0,0.9999999993123535,1.0,0.9675214234033829
truthfulqa_qwen1.5b,25,0.9259259259259259,1.0,0.0,0.0,1.0,0.7273842284241867,1.0,0.0,0.9999999999999999,1.0,1.0,0.9654876007707817
truthfulqa_qwen1.5b,26,0.9629629629629629,0.0,0.238525390625,0.238525390625,1.0,0.6085239761406149,0.0073439412484700125,0.025486001512752945,0.9999649986101995,0.9999444560384707,0.997670996873877,0.948592815289099
truthfulqa_qwen1.5b,27,1.0,0.0,0.8937276201322675,0.7183519201353192,0.0,0.1090142126582441,0.0,0.26683530342128725,0.9960926215461061,0.9944881526718896,0.8932643873242291,0.9988893057459421
