setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star,spearman_P0_star_norm,spearman_star_N
truthfulqa_qwen3b,0,0.0,0.0,0.36362180253490806,0.35946081206202507,0.0030599755201958386,0.022993127202113755,0.0,0.17227738192825692,0.9988469213113893,0.9965672849862851,0.0920079223207515,0.9988893057459421
truthfulqa_qwen3b,1,0.02857142857142857,0.0,0.34045594930648804,0.34045594930648804,0.996328029375765,0.05113641808305183,0.0,0.1833376000069114,0.9997229976086719,0.9977031120317384,0.9223577001273707,0.9988893057459421
truthfulqa_qwen3b,2,0.05714285714285714,0.0,0.27634871006011963,0.27634871006011963,1.0,0.0773423689162265,0.0,0.13507414620898103,0.9997425488202202,0.9972899052271101,0.9615559182921606,0.9988893057459421
truthfulqa_qwen3b,3,0.08571428571428572,1.0,0.0,0.0,1.0,0.7410149892868886,1.0,0.0,1.0,1.0,1.0,0.9754122398227782
truthfulqa_qwen3b,4,0.11428571428571428,1.0,0.0,0.0,1.0,0.6805764966739414,1.0,0.0,1.0,1.0,0.9999999999999999,0.9879711715753536
truthfulqa_qwen3b,5,0.14285714285714285,1.0,0.0,0.0,1.0,0.777619439912242,1.0,0.0,1.0,1.0,1.0,0.9560928922965273
truthfulqa_qwen3b,6,0.17142857142857143,1.0,0.0,0.0,1.0,0.683911274461508,1.0,0.0,1.0,1.0,1.0,0.9786635726863142
truthfulqa_qwen3b,7,0.2,1.0,0.0,0.0,1.0,0.7219877324790358,1.0,0.0,1.0,1.0,1.0,0.9660749958473458
truthfulqa_qwen3b,8,0.22857142857142856,1.0,0.0,0.0,1.0,0.7090186392458006,1.0,0.0,1.0,1.0,1.0,0.9762000189954356
truthfulqa_qwen3b,9,0.2571428571428571,1.0,0.0,0.0,1.0,0.6712732597755865,1.0,0.0,1.0,1.0,1.0,0.9787027081410874
truthfulqa_qwen3b,10,0.2857142857142857,1.0,0.0,0.0,1.0,0.6851041041900439,1.0,0.0,1.0,1.0,1.0,0.9847611076799615
truthfulqa_qwen3b,11,0.3142857142857143,1.0,0.0,0.0,1.0,0.6058671246802174,1.0,0.0,1.0,1.0,1.0,0.9834499618516334
truthfulqa_qwen3b,12,0.34285714285714286,0.9951040391676866,0.0,0.0,1.0,0.6055574225072814,1.0,0.0,0.9999994410676629,0.9999997854542803,0.9999991308147761,0.9825695817666203
truthfulqa_qwen3b,13,0.37142857142857144,1.0,0.0,0.0,1.0,0.664588913771919,1.0,0.0,1.0,1.0,1.0,0.9845161778759454
truthfulqa_qwen3b,14,0.4,0.9834761321909424,0.0,0.0,1.0,0.5140283049020368,0.9993880048959608,0.0,0.9999998615103056,0.9999997579484181,0.999996680042515,0.9844199730942897
truthfulqa_qwen3b,15,0.42857142857142855,1.0,0.0,0.0,1.0,0.5758403589664436,1.0,0.0,1.0,1.0,1.0,0.9779354498483691
