setting,bank,auc
truthfulqa_qwen3b,TOHA_toha,0.6675735480285069
truthfulqa_qwen3b,TOHA_maxp,0.6703571144992652
truthfulqa_qwen3b,TOHA_sinkr,0.6491073261132393
truthfulqa_qwen3b,SUP_toha,0.8921959762632793
truthfulqa_qwen3b,SUP_maxp,0.8924941085171441
truthfulqa_qwen3b,SUP_sinkr,0.8916236821880211
truthfulqa_qwen3b,NONTOPO,0.9262744404776708
truthfulqa_qwen1.5b,TOHA_toha,0.6461919222638874
truthfulqa_qwen1.5b,TOHA_maxp,0.6494863585766957
truthfulqa_qwen1.5b,TOHA_sinkr,0.6284298318024717
truthfulqa_qwen1.5b,SUP_toha,0.8578538372917007
truthfulqa_qwen1.5b,SUP_maxp,0.8569564442260472
truthfulqa_qwen1.5b,SUP_sinkr,0.8574688122201265
truthfulqa_qwen1.5b,NONTOPO,0.9166203487997555
truthfulqa_phi3,TOHA_toha,0.7514206226619465
truthfulqa_phi3,TOHA_maxp,0.7419837630283046
truthfulqa_phi3,TOHA_sinkr,0.7150859414911707
truthfulqa_phi3,SUP_toha,0.8982260381819026
truthfulqa_phi3,SUP_maxp,0.9007009853345898
truthfulqa_phi3,SUP_sinkr,0.9045302619219193
truthfulqa_phi3,NONTOPO,0.9362566274500403
truthfulqa_tinyllama,TOHA_toha,0.6662776465230139
truthfulqa_tinyllama,TOHA_maxp,0.6547104147034633
truthfulqa_tinyllama,TOHA_sinkr,0.6175172924198001
truthfulqa_tinyllama,SUP_toha,0.8445951918308766
truthfulqa_tinyllama,SUP_maxp,0.8431974159873795
truthfulqa_tinyllama,SUP_sinkr,0.8480634137791034
truthfulqa_tinyllama,NONTOPO,0.8847726329572473
truthfulqa_smollm,TOHA_toha,0.7014242931344187
truthfulqa_smollm,TOHA_maxp,0.6948968447420107
truthfulqa_smollm,TOHA_sinkr,0.5948847097105721
truthfulqa_smollm,SUP_toha,0.862429193589707
truthfulqa_smollm,SUP_maxp,0.8595587343012394
truthfulqa_smollm,SUP_sinkr,0.8414685485453692
truthfulqa_smollm,NONTOPO,0.8992387889538255
halueval_qwen3b,TOHA_toha,0.967361
halueval_qwen3b,TOHA_maxp,0.982031
halueval_qwen3b,TOHA_sinkr,0.960852
halueval_qwen3b,SUP_toha,0.999053
halueval_qwen3b,SUP_maxp,0.99933
halueval_qwen3b,SUP_sinkr,0.999574
halueval_qwen3b,NONTOPO,0.99978
halueval_qwen1.5b,TOHA_toha,0.970088
halueval_qwen1.5b,TOHA_maxp,0.98788
halueval_qwen1.5b,TOHA_sinkr,0.972356
halueval_qwen1.5b,SUP_toha,0.998972
halueval_qwen1.5b,SUP_maxp,0.999268
halueval_qwen1.5b,SUP_sinkr,0.998508
halueval_qwen1.5b,NONTOPO,0.999772
triviaqa_qwen3b,TOHA_toha,0.7275406544623971
triviaqa_qwen3b,TOHA_maxp,0.7364180683770655
triviaqa_qwen3b,TOHA_sinkr,0.7416851634109327
triviaqa_qwen3b,SUP_toha,0.8621437394021074
triviaqa_qwen3b,SUP_maxp,0.8632827090490268
triviaqa_qwen3b,SUP_sinkr,0.869715380388232
triviaqa_qwen3b,NONTOPO,0.8696703537355237
triviaqa_qwen1.5b,TOHA_toha,0.7122801804980409
triviaqa_qwen1.5b,TOHA_maxp,0.7139839557296986
triviaqa_qwen1.5b,TOHA_sinkr,0.7077746931347607
triviaqa_qwen1.5b,SUP_toha,0.8280150322185289
triviaqa_qwen1.5b,SUP_maxp,0.8272118902155949
triviaqa_qwen1.5b,SUP_sinkr,0.8358247757701807
triviaqa_qwen1.5b,NONTOPO,0.8726021800895062
triviaqa_phi3,TOHA_toha,0.724096
triviaqa_phi3,TOHA_maxp,0.731127873015873
triviaqa_phi3,TOHA_sinkr,0.7325206349206349
triviaqa_phi3,SUP_toha,0.8467057777777778
triviaqa_phi3,SUP_maxp,0.8506209523809524
triviaqa_phi3,SUP_sinkr,0.8499779047619047
triviaqa_phi3,NONTOPO,0.8833554285714286
triviaqa_tinyllama,TOHA_toha,0.7140190114459816
triviaqa_tinyllama,TOHA_maxp,0.7248371109189723
triviaqa_tinyllama,TOHA_sinkr,0.6934198472496707
triviaqa_tinyllama,SUP_toha,0.832612812911726
triviaqa_tinyllama,SUP_maxp,0.8257923151350461
triviaqa_tinyllama,SUP_sinkr,0.8320981554677207
triviaqa_tinyllama,NONTOPO,0.8419023797760211
truthfulqa_mistral,TOHA_toha,0.7509322251003387
truthfulqa_mistral,TOHA_maxp,0.7640290701419798
truthfulqa_mistral,TOHA_sinkr,0.7661459589596233
truthfulqa_mistral,SUP_toha,0.9321621779534943
truthfulqa_mistral,SUP_maxp,0.9343929263253776
truthfulqa_mistral,SUP_sinkr,0.9356768426146348
truthfulqa_mistral,NONTOPO,0.9585895797533742
truthfulqa_qwen7b,TOHA_toha,0.7047367072715806
truthfulqa_qwen7b,TOHA_maxp,0.708804190031596
truthfulqa_qwen7b,TOHA_sinkr,0.5442187062258704
truthfulqa_qwen7b,SUP_toha,0.9245905175965446
truthfulqa_qwen7b,SUP_maxp,0.9271823206075306
truthfulqa_qwen7b,SUP_sinkr,0.9057257872414377
truthfulqa_qwen7b,NONTOPO,0.9495047858466581
triviaqa_qwen7b,TOHA_toha,0.7538089533297503
triviaqa_qwen7b,TOHA_maxp,0.7895430056677666
triviaqa_qwen7b,TOHA_sinkr,0.6166235804311426
triviaqa_qwen7b,SUP_toha,0.8764540978963308
triviaqa_qwen7b,SUP_maxp,0.8797628805825699
triviaqa_qwen7b,SUP_sinkr,0.8423884486853443
triviaqa_qwen7b,NONTOPO,0.8811050093128321
truthfulqa_mistral_chat,TOHA_toha,0.7532828256345797
truthfulqa_mistral_chat,TOHA_maxp,0.7622582544431444
truthfulqa_mistral_chat,TOHA_sinkr,0.7606792022040813
truthfulqa_mistral_chat,SUP_toha,0.9335404778206082
truthfulqa_mistral_chat,SUP_maxp,0.9356408869659275
truthfulqa_mistral_chat,SUP_sinkr,0.9366056968729073
truthfulqa_mistral_chat,NONTOPO,0.9602585211142056
triviaqa_mistral,TOHA_toha,0.7111537118207985
triviaqa_mistral,TOHA_maxp,0.703721422803808
triviaqa_mistral,TOHA_sinkr,0.7208410682820496
triviaqa_mistral,SUP_toha,0.820662616978816
triviaqa_mistral,SUP_maxp,0.8165084862635172
triviaqa_mistral,SUP_sinkr,0.8223550406035675
triviaqa_mistral,NONTOPO,0.8409458705200469
