setting,bank,auc
truthfulqa_qwen1.5b,TOHA_toha,0.6461919222638874
truthfulqa_qwen1.5b,TOHA_maxp,0.6494863585766957
truthfulqa_qwen1.5b,TOHA_sinkr,0.6284298318024717
truthfulqa_qwen1.5b,SUP_toha,0.8578538372917007
truthfulqa_qwen1.5b,SUP_maxp,0.8569564442260472
truthfulqa_qwen1.5b,SUP_sinkr,0.8574688122201265
truthfulqa_qwen1.5b,NONTOPO,0.9166203487997555
truthfulqa_qwen1.5b_sbm2,TOHA_toha,0.6670072465613666
truthfulqa_qwen1.5b_sbm2,TOHA_maxp,0.6610850515888651
truthfulqa_qwen1.5b_sbm2,TOHA_sinkr,0.6243758324107214
truthfulqa_qwen1.5b_sbm2,SUP_toha,0.8432977921733542
truthfulqa_qwen1.5b_sbm2,SUP_maxp,0.8405621665675389
truthfulqa_qwen1.5b_sbm2,SUP_sinkr,0.8486956339355405
truthfulqa_qwen1.5b_sbp2,TOHA_toha,0.6672319693657873
truthfulqa_qwen1.5b_sbp2,TOHA_maxp,0.6642401597629324
truthfulqa_qwen1.5b_sbp2,TOHA_sinkr,0.6373797920265353
truthfulqa_qwen1.5b_sbp2,SUP_toha,0.8571542002939374
truthfulqa_qwen1.5b_sbp2,SUP_maxp,0.8552590379766558
truthfulqa_qwen1.5b_sbp2,SUP_sinkr,0.8567137435972728
truthfulqa_qwen1.5b_sbp4,TOHA_toha,0.6465095304941355
truthfulqa_qwen1.5b_sbp4,TOHA_maxp,0.6548542372982925
truthfulqa_qwen1.5b_sbp4,TOHA_sinkr,0.6400045543821696
truthfulqa_qwen1.5b_sbp4,SUP_toha,0.8385935948008132
truthfulqa_qwen1.5b_sbp4,SUP_maxp,0.8359119026680589
truthfulqa_qwen1.5b_sbp4,SUP_sinkr,0.8376167996775977
truthfulqa_tinyllama,TOHA_toha,0.6662776465230139
truthfulqa_tinyllama,TOHA_maxp,0.6547104147034633
truthfulqa_tinyllama,TOHA_sinkr,0.6175172924198001
truthfulqa_tinyllama,SUP_toha,0.8445951918308766
truthfulqa_tinyllama,SUP_maxp,0.8431974159873795
truthfulqa_tinyllama,SUP_sinkr,0.8480634137791034
truthfulqa_tinyllama,NONTOPO,0.8847726329572473
truthfulqa_tinyllama_sbm2,TOHA_toha,0.6979980194430171
truthfulqa_tinyllama_sbm2,TOHA_maxp,0.6858135489873242
truthfulqa_tinyllama_sbm2,TOHA_sinkr,0.6257601248859532
truthfulqa_tinyllama_sbm2,SUP_toha,0.8450641134161012
truthfulqa_tinyllama_sbm2,SUP_maxp,0.8373905787211474
truthfulqa_tinyllama_sbm2,SUP_sinkr,0.8336496931035567
truthfulqa_tinyllama_sbp2,TOHA_toha,0.6522249804865698
truthfulqa_tinyllama_sbp2,TOHA_maxp,0.6530729345352507
truthfulqa_tinyllama_sbp2,TOHA_sinkr,0.6104669889691066
truthfulqa_tinyllama_sbp2,SUP_toha,0.8477233332684134
truthfulqa_tinyllama_sbp2,SUP_maxp,0.846505335668453
truthfulqa_tinyllama_sbp2,SUP_sinkr,0.8475510457850242
truthfulqa_tinyllama_sbp4,TOHA_toha,0.6651255676123502
truthfulqa_tinyllama_sbp4,TOHA_maxp,0.6617442384818326
truthfulqa_tinyllama_sbp4,TOHA_sinkr,0.615652093143108
truthfulqa_tinyllama_sbp4,SUP_toha,0.8440738349246205
truthfulqa_tinyllama_sbp4,SUP_maxp,0.8439944328670584
truthfulqa_tinyllama_sbp4,SUP_sinkr,0.8418910274176803
