setting,rows,cells,viol_upper,viol_lower,frac_coned_P,max_abs_gap_coned,frac_arg0_all,median_head_rho_maxp,median_head_rho_sinkr,frac_heads_rho_maxp_ge_0_9,toha_sel_frac_coned_P,toha_sel_frac_arg0,toha_sel_mean_nheads,toha_sel_overlap_sinkr
truthfulqa_qwen3b,1634,941184,0,0,0.5733947878416973,5.960464477539063e-08,0.4086363559091527,0.9755855573987999,0.8879686273715339,0.7170138888888888,0.7969381699491859,0.18772022551092318,4.4,0.4300793650793652
truthfulqa_qwen1.5b,1634,549024,0,0,0.584311432651396,5.960464477539063e-08,0.4463702861805677,0.9784834663659758,0.892788331480227,0.7023809523809523,0.7364175040088051,0.3448853339405843,8.6,0.371441798941799
truthfulqa_phi3,1634,1673216,0,0,0.7375592870257038,0.0,0.7085851438188494,0.9959376594043233,0.9847292241986184,0.8828125,0.740993279600933,0.6852093485138911,3.533333333333333,0.41896825396825393
truthfulqa_tinyllama,1634,1150336,0,0,0.7436661983976856,0.0,0.629320476799822,0.9948290884871882,0.966658866636072,0.8607954545454546,0.8322008423932609,0.44177046583627333,4.533333333333333,0.6855555555555557
truthfulqa_smollm,1634,1254912,0,0,0.581000898867809,0.0,4.143716850265198e-05,0.9536343033514123,-0.08742269347091128,0.69140625,0.7614399592417473,0.0,6.566666666666666,0.0
halueval_qwen3b,2000,1152000,0,0,0.6753758680555556,5.960464477539063e-08,0.4172708333333333,0.9872374718783059,0.7773021936571125,0.7361111111111112,0.701255,0.2830375,6.666666666666667,0.596851851851852
halueval_qwen1.5b,1000,336000,0,0,0.6879166666666666,5.960464477539063e-08,0.4648511904761905,0.9884330657228204,0.8419529140298687,0.7648809523809523,0.708452380952381,0.5908265306122449,9.8,0.3548148148148149
triviaqa_qwen3b,2000,1152000,0,0,0.7592578125,5.960464477539063e-08,0.39857291666666667,0.9908664239634775,0.8680536643219087,0.7708333333333334,0.8913574380165289,0.7021404958677686,8.066666666666666,0.6452380952380952
triviaqa_qwen1.5b,2000,672000,0,0,0.7745386904761905,5.960464477539063e-08,0.4156488095238095,0.9915902574884206,0.8936969067392673,0.8005952380952381,0.8820694980694981,0.5139189189189189,8.633333333333333,0.6287566137566137
triviaqa_phi3,2000,2048000,0,0,0.8805751953125,0.0,0.74693896484375,0.9982641077047533,0.9872406080387932,0.89453125,0.949779197080292,0.7870255474452554,9.133333333333333,0.6811243386243386
triviaqa_tinyllama,2000,1408000,0,0,0.6557741477272727,0.0,0.42291761363636365,0.9942611018600573,0.9613089501760096,0.8536931818181818,0.9221476868327402,0.621355871886121,9.366666666666667,0.08324074074074075
truthfulqa_mistral,1634,1673216,0,0,0.8109048682298041,0.0,0.8286885853350673,0.9977876973960053,0.9922269930086525,0.91796875,0.6406430910714876,0.7230970260346026,3.7,0.8250000000000001
truthfulqa_qwen7b,1634,1281056,0,0,0.566077517298229,0.0,3.9030300002497935e-06,0.979515731475403,-0.11009236926732556,0.7193877551020408,0.6643823886445945,0.0,8.1,0.0
triviaqa_qwen7b,2000,1568000,0,0,0.7560395408163265,5.960464477539063e-08,3.826530612244898e-06,0.9943548759801482,-0.16406403935026226,0.7831632653061225,0.9316048109965636,0.0,9.7,0.0
truthfulqa_mistral_chat,1634,1673216,0,0,0.8038854517288861,0.0,0.8254283965728274,0.9977200962054069,0.9922347309050237,0.91015625,0.5973072215422277,0.7680538555691554,3.0,1.0
triviaqa_mistral,2000,2048000,0,0,0.73338525390625,0.0,0.67230322265625,0.9919965607853394,0.9707649004353783,0.8662109375,0.6346086956521739,0.32903260869565215,4.6,0.5636904761904762
