setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
truthfulqa_qwen3b,TOHA_maxp_vs_toha,TOHA_toha,TOHA_maxp,0.6675735480285069,0.6703571144992652,0.002783566470758281,0.002487341238671731,-0.0020974128412603044,0.007606192761228999,-0.0013408460663771882,0.006854045534832714,0.2572,817,0.002,True,0.9824749723525046,0.0,True,0.9999884377074248,0.0,True,0.9999999998403544,0.0,True,1.0
truthfulqa_qwen3b,TOHA_sinkr_vs_toha,TOHA_toha,TOHA_sinkr,0.6675735480285069,0.6491073261132393,-0.01846622191526759,0.006345860138536356,-0.03110511933529992,-0.0061632101802426426,-0.02884541917544714,-0.008032566828816687,0.0026,817,0.9102,False,0.0,0.7126,False,0.5277926163705589,0.4101,False,0.8681399644934402,0.1524,False,0.9782509755623043
truthfulqa_qwen3b,SUP_maxp_vs_toha,SUP_toha,SUP_maxp,0.8921959762632793,0.8924941085171441,0.00029813225386476905,0.00281908976806879,-0.005120870905737806,0.005834028725566986,-0.004329958995578936,0.005011393446184086,0.931,817,0.0001,True,0.9428798953963711,0.0,True,0.9997630923254965,0.0,True,0.9999999495266716,0.0,True,0.9999999999994924
truthfulqa_qwen3b,SUP_sinkr_vs_toha,SUP_toha,SUP_sinkr,0.8921959762632793,0.8916236821880211,-0.0005722940752581618,0.0036176868925987997,-0.007699115640857038,0.006358232120679224,-0.006571044616465555,0.005372448085286823,0.871,817,0.0042,True,0.7370064088961632,0.0,True,0.9876311362885297,0.0,True,0.9998970537455432,0.0,True,0.9999998602977256
truthfulqa_qwen3b,LF_toha_beyond_maxp,SUP_maxp,SUP_maxp(+)SUP_toha,0.8921555261584835,0.8952806712919613,0.0031251451334778357,0.0014351294685243927,0.0003220652325356316,0.005931446061283434,0.0007415103469869789,0.005483236427866189,0.0294,817,0.0,True,0.9999998980193678,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen3b,LF_toha_beyond_nontopo,NONTOPO,NONTOPO(+)SUP_toha,0.9259808026798944,0.9294655043004454,0.003484701620551034,0.001336973847405881,0.0007460422568761256,0.006100549971610041,0.0012358256091111353,0.00566638551346918,0.0106,817,0.0,True,0.9999999946120399,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen1.5b,TOHA_maxp_vs_toha,TOHA_toha,TOHA_maxp,0.6461919222638874,0.6494863585766957,0.0032944363128082355,0.003888033333420249,-0.00432969681897378,0.010993214869458444,-0.003032784060860954,0.009727501127359322,0.3892,817,0.0424,True,0.6461465563296305,0.0014,True,0.9731118662173168,0.0,True,0.9995332301518329,0.0,True,0.9999982912534369
truthfulqa_qwen1.5b,TOHA_sinkr_vs_toha,TOHA_toha,TOHA_sinkr,0.6461919222638874,0.6284298318024717,-0.017762090461415747,0.006241775544640583,-0.030236078796804212,-0.005528143534949565,-0.028261814052366434,-0.007560049678721331,0.0032,817,0.8979,False,0.0,0.6759,False,0.5517338149216338,0.3644,False,0.8810894743989557,0.1266,False,0.9817455953489851
truthfulqa_qwen1.5b,SUP_maxp_vs_toha,SUP_toha,SUP_maxp,0.8578538372917007,0.8569564442260472,-0.0008973930656535067,0.0031776449326368136,-0.007201916436076114,0.0052436070107522315,-0.006200926157584624,0.004274677185691404,0.7754,817,0.0016,True,0.8669367398143919,0.0,True,0.9978993703724335,0.0,True,0.9999966663894972,0.0,True,0.9999999995110425
truthfulqa_qwen1.5b,SUP_sinkr_vs_toha,SUP_toha,SUP_sinkr,0.8578538372917007,0.8574688122201265,-0.0003850250715742298,0.003975494198832676,-0.008139497429920161,0.007314015661681336,-0.006918466072100005,0.006185944637289852,0.921,817,0.0085,True,0.6160038675378154,0.0002,True,0.9666846480108908,0.0,True,0.9992907220347056,0.0,True,0.9999965773039381
