setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
truthfulqa_qwen1.5b,TOHA_maxp_vs_toha,TOHA_toha,TOHA_maxp,0.6461919222638874,0.6494863585766957,0.0032944363128082355,0.003888033333420249,-0.00432969681897378,0.010993214869458444,-0.003032784060860954,0.009727501127359322,0.3892,817,0.0424,True,0.6461465563296305,0.0014,True,0.9731118662173168,0.0,True,0.9995332301518329,0.0,True,0.9999982912534369
truthfulqa_qwen1.5b,TOHA_sinkr_vs_toha,TOHA_toha,TOHA_sinkr,0.6461919222638874,0.6284298318024717,-0.017762090461415747,0.006241775544640583,-0.030236078796804212,-0.005528143534949565,-0.028261814052366434,-0.007560049678721331,0.0032,817,0.8979,False,0.0,0.6759,False,0.5517338149216338,0.3644,False,0.8810894743989557,0.1266,False,0.9817455953489851
truthfulqa_qwen1.5b,SUP_maxp_vs_toha,SUP_toha,SUP_maxp,0.8578538372917007,0.8569564442260472,-0.0008973930656535067,0.0031776449326368136,-0.007201916436076114,0.0052436070107522315,-0.006200926157584624,0.004274677185691404,0.7754,817,0.0016,True,0.8669367398143919,0.0,True,0.9978993703724335,0.0,True,0.9999966663894972,0.0,True,0.9999999995110425
truthfulqa_qwen1.5b,SUP_sinkr_vs_toha,SUP_toha,SUP_sinkr,0.8578538372917007,0.8574688122201265,-0.0003850250715742298,0.003975494198832676,-0.008139497429920161,0.007314015661681336,-0.006918466072100005,0.006185944637289852,0.921,817,0.0085,True,0.6160038675378154,0.0002,True,0.9666846480108908,0.0,True,0.9992907220347056,0.0,True,0.9999965773039381
truthfulqa_qwen1.5b,LF_toha_beyond_maxp,SUP_maxp,SUP_maxp(+)SUP_toha,0.8564485706880562,0.8609505175366186,0.00450194684856231,0.0018105941346242406,0.0010290806290441268,0.008073578740623432,0.0015610744147095401,0.007511734275770792,0.0114,817,0.0005,True,0.9998947657784145,0.0,True,0.999999999968572,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen1.5b,LF_toha_beyond_nontopo,NONTOPO,NONTOPO(+)SUP_toha,0.9162937516573307,0.9181859176705534,0.0018921660132226181,0.0011266168650532669,-0.0002786937312825366,0.004103438408722848,3.445749667785325e-05,0.0037244059452665734,0.0932,817,0.0,True,0.9999999999995215,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen1.5b_sbm2,TOHA_maxp_vs_toha,TOHA_toha,TOHA_maxp,0.6670072465613666,0.6610850515888651,-0.00592219497250146,0.0023397672515750984,-0.01047069689537963,-0.0013227933344219605,-0.009780161171195345,-0.002094341629599856,0.012,817,0.0396,True,0.9914382713695074,0.0001,True,0.9999981211843834,0.0,True,0.9999999999949085,0.0,True,1.0
truthfulqa_qwen1.5b_sbm2,TOHA_sinkr_vs_toha,TOHA_toha,TOHA_sinkr,0.6670072465613666,0.6243758324107214,-0.0426314141506452,0.009616130025095511,-0.061891806456735574,-0.02416066032548857,-0.05863647191189666,-0.02707123263454527,0.0,817,0.9999,False,0.0,0.9988,False,0.0,0.9928,False,0.33642678523446956,0.9704,False,0.6603944025600414
truthfulqa_qwen1.5b_sbm2,SUP_maxp_vs_toha,SUP_toha,SUP_maxp,0.8432977921733542,0.8405621665675389,-0.002735625605815306,0.005202706539980945,-0.01307590836702922,0.007408661416143118,-0.011375468359778207,0.005797848354055279,0.6072,817,0.0802,False,0.21839102591106752,0.0086,True,0.7843807483954859,0.0004,True,0.9721433583667309,0.0,True,0.9984241359088071
truthfulqa_qwen1.5b_sbm2,SUP_sinkr_vs_toha,SUP_toha,SUP_sinkr,0.8432977921733542,0.8486956339355405,0.005397841762186273,0.0057605803108360856,-0.00581751159944204,0.016682447201377137,-0.004016545591013498,0.014845188460034575,0.3476,817,0.2105,False,0.07257303476867749,0.0472,True,0.6624667956728139,0.006,True,0.9323030586816499,0.0003,True,0.9929608605515066
truthfulqa_qwen1.5b_sbm2,LF_toha_beyond_maxp,SUP_maxp,SUP_maxp(+)SUP_toha,0.8399044778266009,0.8500529596742418,0.010148481847640833,0.002956806089813109,0.004314640391077642,0.015936292583098692,0.005264356416360433,0.015049161858847028,0.0006,817,0.5217,False,0.9176435442525646,0.0524,False,0.9993923751957909,0.0005,True,0.9999996931683399,0.0,True,0.9999999999902547
truthfulqa_qwen1.5b_sbp2,TOHA_maxp_vs_toha,TOHA_toha,TOHA_maxp,0.6672319693657873,0.6642401597629324,-0.0029918096028549446,0.004205960178037661,-0.011257526341258083,0.00510424141821065,-0.010045184265208857,0.0039044838192090103,0.4704,817,0.0507,False,0.536273678422619,0.0023,True,0.9453330543396226,0.0002,True,0.9981310457071075,0.0,True,0.9999828500979759
truthfulqa_qwen1.5b_sbp2,TOHA_sinkr_vs_toha,TOHA_toha,TOHA_sinkr,0.6672319693657873,0.6373797920265353,-0.02985217733925205,0.007644022638836455,-0.04513827194156006,-0.015090885392867959,-0.04270295091005244,-0.017508902768435086,0.0,817,0.9962,False,0.0,0.9762,False,0.24910841219146151,0.9056,False,0.668735393216203,0.7447,False,0.8959813319396446
truthfulqa_qwen1.5b_sbp2,SUP_maxp_vs_toha,SUP_toha,SUP_maxp,0.8571542002939374,0.8552590379766558,-0.0018951623172815957,0.0026070728295192985,-0.00696344808678496,0.003299043130298744,-0.006188940941348825,0.002418391913574597,0.4508,817,0.001,True,0.9715384975173624,0.0,True,0.999960215150588,0.0,True,0.9999999983254007,0.0,True,0.999999999999998
truthfulqa_qwen1.5b_sbp2,SUP_sinkr_vs_toha,SUP_toha,SUP_sinkr,0.8571542002939374,0.8567137435972728,-0.00044045669666459286,0.0031329991181465525,-0.006518609295434055,0.005711030443947403,-0.005556720784911778,0.004699777824054079,0.8816,817,0.0015,True,0.8781310126705053,0.0,True,0.9983271193372398,0.0,True,0.9999978501880726,0.0,True,0.9999999997622286
truthfulqa_qwen1.5b_sbp2,LF_toha_beyond_maxp,SUP_maxp,SUP_maxp(+)SUP_toha,0.8548410535604332,0.8576920368725177,0.002850983312084554,0.0014956918139508806,-0.00011539516007009473,0.005794926957597775,0.000399632053861532,0.00535447026093318,0.0584,817,0.0,True,0.999999536932495,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen1.5b_sbp4,TOHA_maxp_vs_toha,TOHA_toha,TOHA_maxp,0.6465095304941355,0.6548542372982925,0.008344706804156998,0.0032177642681706633,0.002092843477570422,0.014728370055536517,0.0030921108812279443,0.013732211317340074,0.0092,817,0.3015,False,0.8565036761617233,0.0199,True,0.9974451486496556,0.0001,True,0.9999951376787459,0.0,True,0.9999999990904034
truthfulqa_qwen1.5b_sbp4,TOHA_sinkr_vs_toha,TOHA_toha,TOHA_sinkr,0.6465095304941355,0.6400045543821696,-0.006504976111965877,0.007766752252547651,-0.02205395894164548,0.008387104506591074,-0.019504740902097268,0.006004593334122399,0.3986,817,0.318,False,0.0,0.1389,False,0.22547077625980338,0.0434,True,0.6477455511044921,0.0103,True,0.8845113998623453
truthfulqa_qwen1.5b_sbp4,SUP_maxp_vs_toha,SUP_toha,SUP_maxp,0.8385935948008132,0.8359119026680589,-0.0026816921327542653,0.0030565779604947636,-0.008662315034405066,0.0033634636675660395,-0.007778555152219735,0.002346180985754025,0.385,817,0.0089,True,0.8962159440667321,0.0001,True,0.9988960292291618,0.0,True,0.9999990338546747,0.0,True,0.9999999999360614
truthfulqa_qwen1.5b_sbp4,SUP_sinkr_vs_toha,SUP_toha,SUP_sinkr,0.8385935948008132,0.8376167996775977,-0.0009767951232154681,0.003613607174936327,-0.008097698988297975,0.006084032845485096,-0.006933747222800679,0.005018959113932945,0.791,817,0.0075,True,0.7383349314510554,0.0001,True,0.9877936953493014,0.0,True,0.9998996657988743,0.0,True,0.9999998661108709
