setting,example,layer,head,ours,native,abs_diff
truthfulqa_mistral,0,0,0,0.069247159090909,0.069247159090909,0.0
truthfulqa_mistral,0,0,1,0.0774147727272727,0.0774147727272727,0.0
truthfulqa_mistral,0,0,2,0.1118607954545454,0.1118607954545454,0.0
truthfulqa_mistral,0,0,3,0.1150568181818181,0.1150568181818181,0.0
truthfulqa_mistral,0,0,4,0.0053267045454545,0.0053267045454545,0.0
truthfulqa_mistral,0,0,5,0.0085227272727272,0.0085227272727272,0.0
truthfulqa_mistral,0,0,6,0.0088778409090909,0.0088778409090909,0.0
truthfulqa_mistral,0,0,7,0.0127840909090909,0.0127840909090909,0.0
truthfulqa_mistral,0,0,8,0.0983664772727272,0.0983664772727272,0.0
truthfulqa_mistral,0,0,9,0.0493607954545454,0.0493607954545454,0.0
truthfulqa_mistral,0,0,10,0.3057528409090909,0.3057528409090909,0.0
truthfulqa_mistral,0,0,11,0.0319602272727272,0.0319602272727272,0.0
truthfulqa_mistral,0,0,12,0.0174005681818181,0.0174005681818181,0.0
truthfulqa_mistral,0,0,13,0.0163352272727272,0.0163352272727272,0.0
truthfulqa_mistral,0,0,14,0.0127840909090909,0.0127840909090909,0.0
truthfulqa_mistral,0,0,15,0.0074573863636363,0.0074573863636363,0.0
truthfulqa_mistral,0,0,16,0.8247514204545454,0.8247514204545454,0.0
truthfulqa_mistral,0,0,17,0.6535866477272727,0.6535866477272727,0.0
truthfulqa_mistral,0,0,18,0.8760653409090909,0.8760653409090909,0.0
truthfulqa_mistral,0,0,19,0.9368119673295454,0.9368119673295454,0.0
truthfulqa_mistral,0,0,20,0.0578835227272727,0.0578835227272727,0.0
truthfulqa_mistral,0,0,21,0.0042613636363636,0.0042613636363636,0.0
truthfulqa_mistral,0,0,22,0.1736505681818181,0.1736505681818181,0.0
truthfulqa_mistral,0,0,23,0.015625,0.015625,0.0
truthfulqa_mistral,0,0,24,0.4952947443181818,0.4952947443181818,0.0
truthfulqa_mistral,0,0,25,0.2766335227272727,0.2766335227272727,0.0
truthfulqa_mistral,0,0,26,0.7554598721590909,0.7554598721590909,0.0
truthfulqa_mistral,0,0,27,0.5962357954545454,0.5962357954545454,0.0
truthfulqa_mistral,0,0,28,0.3258167613636363,0.3258167613636363,0.0
truthfulqa_mistral,0,0,29,0.2333096590909091,0.2333096590909091,0.0
truthfulqa_mistral,0,0,30,0.7430752840909091,0.7430752840909091,0.0
truthfulqa_mistral,0,0,31,0.6413352272727273,0.6413352272727273,0.0
truthfulqa_mistral,0,1,0,0.400390625,0.400390625,0.0
truthfulqa_mistral,0,1,1,0.1335227272727272,0.1335227272727272,0.0
truthfulqa_mistral,0,1,2,0.2038352272727272,0.2038352272727272,0.0
truthfulqa_mistral,0,1,3,0.1072443181818181,0.1072443181818181,0.0
truthfulqa_mistral,0,1,4,0.2365056818181818,0.2365056818181818,0.0
truthfulqa_mistral,0,1,5,0.0944602272727272,0.0944602272727272,0.0
truthfulqa_mistral,0,1,6,0.3318536931818182,0.3318536931818182,0.0
truthfulqa_mistral,0,1,7,0.4304865056818182,0.4304865056818182,0.0
truthfulqa_mistral,0,1,8,0.2368607954545454,0.2368607954545454,0.0
truthfulqa_mistral,0,1,9,0.2663352272727273,0.2663352272727273,0.0
truthfulqa_mistral,0,1,10,0.1164772727272727,0.1164772727272727,0.0
truthfulqa_mistral,0,1,11,0.2262073863636363,0.2262073863636363,0.0
truthfulqa_mistral,0,1,12,0.2048117897727272,0.2048117897727272,0.0
truthfulqa_mistral,0,1,13,0.19921875,0.19921875,0.0
truthfulqa_mistral,0,1,14,0.3091264204545454,0.3091264204545454,0.0
truthfulqa_mistral,0,1,15,0.1139914772727272,0.1139914772727272,0.0
truthfulqa_mistral,0,1,16,0.3412642045454545,0.3412642045454545,0.0
truthfulqa_mistral,0,1,17,0.0454545454545454,0.0454545454545454,0.0
truthfulqa_mistral,0,1,18,0.0525568181818181,0.0525568181818181,0.0
truthfulqa_mistral,0,1,19,0.1962002840909091,0.1962002840909091,0.0
truthfulqa_mistral,0,1,20,0.2805397727272727,0.2805397727272727,0.0
truthfulqa_mistral,0,1,21,0.0727982954545454,0.0727982954545454,0.0
truthfulqa_mistral,0,1,22,0.1598011363636363,0.1598011363636363,0.0
truthfulqa_mistral,0,1,23,0.2899502840909091,0.2899502840909091,0.0
truthfulqa_mistral,0,1,24,0.0678267045454545,0.0678267045454545,0.0
truthfulqa_mistral,0,1,25,0.1321022727272727,0.1321022727272727,0.0
truthfulqa_mistral,0,1,26,0.1306818181818181,0.1306818181818181,0.0
truthfulqa_mistral,0,1,27,0.1505681818181818,0.1505681818181818,0.0
truthfulqa_mistral,0,1,28,0.5479403409090909,0.5479403409090909,0.0
truthfulqa_mistral,0,1,29,0.1740056818181818,0.1740056818181818,0.0
truthfulqa_mistral,0,1,30,0.4428267045454545,0.4428267045454545,0.0
truthfulqa_mistral,0,1,31,0.1260653409090909,0.1260653409090909,0.0
truthfulqa_mistral,0,2,0,0.15625,0.15625,0.0
truthfulqa_mistral,0,2,1,0.1598011363636363,0.1598011363636363,0.0
truthfulqa_mistral,0,2,2,0.2198153409090909,0.2198153409090909,0.0
truthfulqa_mistral,0,2,3,0.1772017045454545,0.1772017045454545,0.0
truthfulqa_mistral,0,2,4,0.0990767045454545,0.0990767045454545,0.0
truthfulqa_mistral,0,2,5,0.2027698863636363,0.2027698863636363,0.0
truthfulqa_mistral,0,2,6,0.203125,0.203125,0.0
truthfulqa_mistral,0,2,7,0.1686789772727272,0.1686789772727272,0.0
truthfulqa_mistral,0,2,8,0.1258877840909091,0.1258877840909091,0.0
truthfulqa_mistral,0,2,9,0.1988636363636363,0.1988636363636363,0.0
truthfulqa_mistral,0,2,10,0.0962357954545454,0.0962357954545454,0.0
truthfulqa_mistral,0,2,11,0.1725852272727272,0.1725852272727272,0.0
truthfulqa_mistral,0,2,12,0.0749289772727272,0.0749289772727272,0.0
truthfulqa_mistral,0,2,13,0.22265625,0.22265625,0.0
truthfulqa_mistral,0,2,14,0.0617897727272727,0.0617897727272727,0.0
truthfulqa_mistral,0,2,15,0.1026278409090909,0.1026278409090909,0.0
truthfulqa_mistral,0,2,16,0.0522017045454545,0.0522017045454545,0.0
truthfulqa_mistral,0,2,17,0.07421875,0.07421875,0.0
truthfulqa_mistral,0,2,18,0.2272727272727272,0.2272727272727272,0.0
truthfulqa_mistral,0,2,19,0.2816051136363636,0.2816051136363636,0.0
truthfulqa_mistral,0,2,20,0.0078125,0.0078125,0.0
truthfulqa_mistral,0,2,21,0.2109375,0.2109375,0.0
truthfulqa_mistral,0,2,22,0.24609375,0.24609375,0.0
truthfulqa_mistral,0,2,23,0.041903409090909,0.041903409090909,0.0
truthfulqa_mistral,0,2,24,0.0745738636363636,0.0745738636363636,0.0
truthfulqa_mistral,0,2,25,0.0639204545454545,0.0639204545454545,0.0
truthfulqa_mistral,0,2,26,0.065340909090909,0.065340909090909,0.0
truthfulqa_mistral,0,2,27,0.1271306818181818,0.1271306818181818,0.0
truthfulqa_mistral,0,2,28,0.2311789772727272,0.2311789772727272,0.0
truthfulqa_mistral,0,2,29,0.109375,0.109375,0.0
truthfulqa_mistral,0,2,30,0.109375,0.109375,0.0
truthfulqa_mistral,0,2,31,0.0912642045454545,0.0912642045454545,0.0
truthfulqa_mistral,0,3,0,0.1409801136363636,0.1409801136363636,0.0
truthfulqa_mistral,0,3,1,0.0660511363636363,0.0660511363636363,0.0
truthfulqa_mistral,0,3,2,0.0791903409090909,0.0791903409090909,0.0
truthfulqa_mistral,0,3,3,0.2073863636363636,0.2073863636363636,0.0
truthfulqa_mistral,0,3,4,0.1139914772727272,0.1139914772727272,0.0
truthfulqa_mistral,0,3,5,0.2542613636363636,0.2542613636363636,0.0
truthfulqa_mistral,0,3,6,0.1878551136363636,0.1878551136363636,0.0
truthfulqa_mistral,0,3,7,0.092684659090909,0.092684659090909,0.0
truthfulqa_mistral,0,3,8,0.1331676136363636,0.1331676136363636,0.0
truthfulqa_mistral,0,3,9,0.120028409090909,0.120028409090909,0.0
truthfulqa_mistral,0,3,10,0.0621448863636363,0.0621448863636363,0.0
truthfulqa_mistral,0,3,11,0.2865767045454545,0.2865767045454545,0.0
truthfulqa_mistral,0,3,12,0.0958806818181818,0.0958806818181818,0.0
truthfulqa_mistral,0,3,13,0.1569602272727272,0.1569602272727272,0.0
truthfulqa_mistral,0,3,14,0.1143465909090909,0.1143465909090909,0.0
truthfulqa_mistral,0,3,15,0.2350852272727272,0.2350852272727272,0.0
truthfulqa_mistral,0,3,16,0.1647727272727272,0.1647727272727272,0.0
truthfulqa_mistral,0,3,17,0.03125,0.03125,0.0
truthfulqa_mistral,0,3,18,0.4738991477272727,0.4738991477272727,0.0
truthfulqa_mistral,0,3,19,0.1811079545454545,0.1811079545454545,0.0
truthfulqa_mistral,0,3,20,0.2741477272727273,0.2741477272727273,0.0
truthfulqa_mistral,0,3,21,0.1995738636363636,0.1995738636363636,0.0
truthfulqa_mistral,0,3,22,0.2950994318181818,0.2950994318181818,0.0
truthfulqa_mistral,0,3,23,0.1772017045454545,0.1772017045454545,0.0
truthfulqa_mistral,0,3,24,0.2659801136363636,0.2659801136363636,0.0
truthfulqa_mistral,0,3,25,0.1580255681818181,0.1580255681818181,0.0
truthfulqa_mistral,0,3,26,0.1903409090909091,0.1903409090909091,0.0
truthfulqa_mistral,0,3,27,0.0838068181818181,0.0838068181818181,0.0
truthfulqa_mistral,0,3,28,0.1688565340909091,0.1688565340909091,0.0
truthfulqa_mistral,0,3,29,0.09375,0.09375,0.0
truthfulqa_mistral,0,3,30,0.0735085227272727,0.0735085227272727,0.0
truthfulqa_mistral,0,3,31,0.0710227272727272,0.0710227272727272,0.0
truthfulqa_mistral,0,4,0,0.0337357954545454,0.0337357954545454,0.0
truthfulqa_mistral,0,4,1,0.2191051136363636,0.2191051136363636,0.0
truthfulqa_mistral,0,4,2,0.3394886363636363,0.3394886363636363,0.0
truthfulqa_mistral,0,4,3,0.2531960227272727,0.2531960227272727,0.0
truthfulqa_mistral,0,4,4,0.0905539772727272,0.0905539772727272,0.0
truthfulqa_mistral,0,4,5,0.0415482954545454,0.0415482954545454,0.0
truthfulqa_mistral,0,4,6,0.1107954545454545,0.1107954545454545,0.0
truthfulqa_mistral,0,4,7,0.0855823863636363,0.0855823863636363,0.0
truthfulqa_mistral,0,4,8,0.0649857954545454,0.0649857954545454,0.0
truthfulqa_mistral,0,4,9,0.077059659090909,0.077059659090909,0.0
truthfulqa_mistral,0,4,10,0.0941051136363636,0.0941051136363636,0.0
truthfulqa_mistral,0,4,11,0.1214488636363636,0.1214488636363636,0.0
