layer,sink,delta0,n_h1
0,0.08687635830470494,0.1477399468421936,3
1,0.10716037691703864,0.40482866764068604,2
2,0.08701359161308833,0.5223331451416016,0
3,0.8295467921665737,0.0,0
4,0.8747011252811977,0.0,0
5,0.849114009312221,0.0,0
6,0.7769119739532471,0.0,0
7,0.7379351684025356,0.0,0
8,0.6964126995631627,0.0,0
9,0.5362661906651088,0.0,0
10,0.5559050696236747,0.0,0
11,0.540398188999721,0.143096923828125,0
12,0.4474865368434361,0.19478607177734375,0
13,0.4523985726492746,0.19428253173828125,0
14,0.4282240186418806,0.230987548828125,0
15,0.5210796083722796,0.10943984985351562,0
16,0.48485328257083893,0.2289128303527832,0
17,0.551722799028669,0.14069747924804688,0
18,0.5278686455317906,0.20851516723632812,0
19,0.5719285692487445,0.168701171875,2
20,0.5805790083748954,0.0816497802734375,6
21,0.5341933795383998,0.2810077667236328,10
